smartphone_brand;smartphone_model;smartphone_price
Xiaomi;Redmi Note 11 Pro 8/128Gb;132 800
Apple;iPhone 13 Pro 128Gb Graphite;517 998
Apple;iPhone 13 Pro 256Gb Graphite;570 998
Apple;iPhone 13 Pro Max 128Gb Graphite;563 998
Apple;iPhone 13 Pro Max 256Gb Graphite;615 997
Apple;iPhone 13 128Gb Midnight;404 998
Apple;iPhone 13 128Gb Midnight;404 998
Apple;iPhone 13 256Gb Midnight;449 988
Xiaomi;Redmi Note 11 Pro 5G 8/128Gb Polar White;145 000
Samsung;Galaxy S22 Ultra 5G 12/256Gb Phantom Black;500 000
Samsung;Galaxy S22 Plus 5G 8/128Gb Phantom Black;373 164
Apple;iPhone 13 Pro Max 256Gb;614 000
Apple;iPhone 13 Pro Max 128Gb Silver;562 000
